Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),1674.51809487941,1525.52971232683,1613.68734486729,1589.24777521489,,
Trinidad and Tobago,TTO,GDP per capita (current US$),18289.704340369,16176.9473700573,16238.1931916674,17129.9130902577,,
Tunisia,TUN,GDP per capita (current US$),3861.68853113497,3698.05850375479,3482.18672918633,3447.50790975551,,
Turkey,TUR,GDP per capita (current US$),10948.7246068236,10820.633842346,10513.6484152661,9370.1763438282,,
Tuvalu,TUV,GDP per capita (current US$),3197.79564502867,3255.89486619818,3572.60836706326,3700.71067713471,,
Tanzania,TZA,GDP per capita (current US$),947.933446487903,966.474622354379,1004.84112066441,1060.99461489421,,
Uganda,UGA,GDP per capita (current US$),709.021038589161,608.705735097409,631.522719792278,642.776744292007,,
Ukraine,UKR,GDP per capita (current US$),2124.66266591114,2187.73199668415,2640.67567655839,3095.17358053586,,
Upper middle income,UMC,GDP per capita (current US$),8035.71895742131,7926.86452609935,8673.49242259619,9212.07470189642,,
Uruguay,URY,GDP per capita (current US$),15613.7642726566,15387.14403013,16437.2448692778,17277.9701105496,,
United States,USA,GDP per capita (current US$),56822.5188202456,57927.5168515062,59957.7258513032,62886.8364845599,,
Uzbekistan,UZB,GDP per capita (current US$),2615.025134487,2567.79920656883,1826.56691924216,1532.37167679684,,
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),6920.87807380804,7075.06582034944,7212.96018080962,7361.4009618002,,
"Venezuela, RB",VEN,GDP per capita (current US$),,,,,,
British Virgin Islands,VGB,GDP per capita (current US$),,,,,,
Virgin Islands (U.S.),VIR,GDP per capita (current US$),34797.14046978,35931.5412519766,35938.0243875154,,,
Vietnam,VNM,GDP per capita (current US$),2085.10148409879,2192.21453866566,2365.62166567374,2566.59694958511,,
Vanuatu,VUT,GDP per capita (current US$),2801.93984778858,2889.85303623403,3082.35632289041,3123.89339649956,,
